"[Reinhard Behrens, Ali Ahmed]",A Security Architecture for the Internet of Things.
"[Jiahui Chen, Shaohua Tang, Xinglin Zhang]",HS-Sign - A Security Enhanced UOV Signature Scheme Based on Hyper-Sphere.
"[Dong Hee Kim, Seungjo Baek, Jongin Lim]",Measures for Automaker&apos;s Legal Risks from Security Threats in Connected Car Development Lifecycle.
"[Wei Li, Zhiyong Gao, Dawu Gu, Chenyu Ge, Linfeng Liao, Zhihong Zhou, Ya Liu, Zhiqiang Liu]",Security Analysis of the Whirlpool Hash Function in the Cloud of Things.
"[Lihui Lin, Kaizhi Chen, Shangping Zhong]",Enhancing the Session Security of Zen Cart based on HMAC-SHA256.
"[Zhangkai Luo, Huali Wang, Kaijie Zhou]",Physical Layer Security Scheme Based on Polarization Modulation and WFRFT Processing for Dual-polarized Satellite Systems.
"[Bangyi Sun, Jianfeng Chu, Liang Hu, Hongtu Li, Guangkun Shi]",A secure and effective scheme providing comprehensive forward security to LTE/SAE X2 handover key management.
"[Huan Zhang, Hongjiang Lei, Imran Shafique Ansari, Gaofeng Pan, Khalid A. Qaraqe]",Security Performance Analysis of DF Cooperative Relay Networks over Nakagami-m Fading Channels.
"[Ping Wang, Kuo-Ming Chao, Chi-Chun Lo, Yu-Shih Wang]",Using ontologies to perform threat analysis and develop defensive strategies for mobile security.
"[Jochen Janssens, Luca Talarico, Kenneth Sörensen]",A metaheuristic for security budget allocation in utility networks.
"[Luca Talarico, Kenneth Sörensen, Johan Springael]",A biobjective decision model to increase security and reduce travel costs in the cash-in-transit sector.
"[Fidel Paniagua Diez, Amrutha Chikkanayakanahalli Vasu, Diego Suarez Touceda, José María Sierra Camara]",Modeling XACML Security Policies Using Graph Databases.
"[Jason R. C. Nurse, Sadie Creese, David De Roure]",Security Risk Assessment in Internet of Things Systems.
Ted H. Szymanski,Security and Privacy for a Green Internet of Things.
"[João Carlos Cunha, Kalinka Castelo Branco, Antonio Casimiro, Urbano Nunes]",Editorial Introduction to the Special Issue on Safety and Security of Intelligent Vehicles [Guest Editorial].
"[Julien Bringer, Constance Morel, Christian Rathgeb]",Security analysis and improvement of some biometric protected templates based on Bloom filters.
"[Marc Sanchez Net, Iñigo del Portillo, Bruce G. Cameron, Edward F. Crawley]",Architecting Information Security Services for Federated Satellite Systems.
"[Yue Wang, Sha Luo, Jinwu Gao]",Uncertain extensive game with application to resource allocation of national security.
"[Fan Wu 0003, Lili Xu, Saru Kumari, Xiong Li 0002]",A privacy-preserving and provable user authentication scheme for wireless sensor networks based on Internet of Things security.
"[Robert E. Crossler, Clay Posey]",Robbing Peter to Pay Paul - Surrendering Privacy for Security&apos;s Sake in an Identity Ecosystem.
"[Sanjay Goel, Kevin J. Williams, Ersin Dincelli]",Got Phished? Internet Security and Human Vulnerability.
"[Kenneth L. Abbott, Yen-Yi Ho, Jennifer Erickson]",Automatic health record review to help prioritize gravely ill Social Security disability applicants.
"[Nina Sebescen, Jessica Vitak]",Securing the human - Employee security vulnerability risk in organizational settings.
"[Bruno Robisson, Michel Agoyan, Patrick Soquet, Sébastien Le Henaff, Franck Wajsbürt, Pirouz Bazargan-Sabet, Guillaume Phan]",Smart security management in secure devices.
"[Pawel Swierczynski, Marc Fyrbiak, Philipp Koppe, Amir Moradi 0001, Christof Paar]",Interdiction in practice - Hardware Trojan against a high-security USB flash drive.
"[Jieqiong Chen, Guoqiang Mao]",On the security of warning message dissemination in vehicular Ad hoc networks.
"[Hongliang He, Pinyi Ren, Qinghe Du, Li Sun, Yichen Wang]",Enhancing physical-layer security via big-data-aided hybrid relay selection.
Mahmoud Jazzar,On Cloud Data Transaction Security Using Encryption and Intrusion Detection.
"[André Müller, André Ludwig, Bogdan Franczyk]","Data security in decentralized cloud systems - system comparison, requirements analysis and organizational levels."
"[Vimitha R. Vidhya Lakshmi, Gireesh Kumar T.]","Mobile Social Networks - Architecture, Privacy, Security Issues and Solutions."
Vivek Agrawal,A Comparative Study on Information Security Risk Analysis Methods.
A. A. Abd El-Aziz,An Overview on XML Security Technologies.
"[Niklas Broberg, Bart van Delft, David Sands]",Paragon - Practical programming with information flow control.
"[Bo Chen, Reza Curtmola]",Remote data integrity checking with server-side repair.
"[Yao Cheng, Yingjiu Li, Robert H. Deng, Lingyun Ying, Wei He]",A study on a feasible no-root approach on Android.
"[Euijin Choo, Ting Yu, Min Chi]",Detecting opinion spammer groups and spam targets through community discovery and sentiment analysis.
"[Andrea Continella, Michele Carminati, Mario Polino, Andrea Lanzi, Stefano Zanero, Federico Maggi]",Prometheus - Analyzing WebInject-based information stealers.
"[Véronique Cortier, Cyrille Wiedling]",A formal analysis of the Norwegian E-voting protocol.
"[Jason Crampton, Naomi Farley, Gregory Z. Gutin, Mark Jones, Bertram Poettering]",Cryptographic enforcement of information flow policies without public information via tree partitions.
"[Jason Crampton, Gregory Z. Gutin, Daniel Karapetyan, Rémi Watrigant]",The bi-objective workflow satisfiability problem and workflow resiliency.
"[Daniel B. Giffin, Amit Levy, Deian Stefan, David Terei, David Mazières, John C. Mitchell, Alejandro Russo]",Hails - Protecting data privacy in untrusted web applications.
"[Albert Guan, Wen-Guey Tzeng]",A secret key establishment protocol for wireless networks using noisy channels.
"[Max I. Kanovich, Tajana Ban Kirigin, Vivek Nigam, Andre Scedrov, Carolyn L. Talcott]","Time, computational complexity, and probability in the analysis of distance-bounding protocols."
"[Chung-Yi Lin, Wen-Guey Tzeng]",Strategy analysis for cloud storage reliability management based on game theory.
"[Jed Liu, Owen Arden, Michael D. George, Andrew C. Myers]",Fabric - Building open distributed systems securely by construction.
"[Stefan Wüller, Daniel A. Mayer, Fabian Förg, Samuel Schüppen, Benjamin Assadsolimani, Ulrike Meyer, Susanne Wetzel]",Designing privacy-preserving interval operations based on homomorphic encryption and secret sharing techniques.
Bandar Alshammari,Enterprise Architecture Security Assessment Framework (EASAF).
"[Leau Yu Beng, Ali Abdulrazzaq Khudher, Selvakumar Manickam, Samer Al-Salem]",An Adaptive Assessment and Prediction Mechanism in Network Security Situation Awareness.
"[Molamoganyi Gorata, Adamu Murtala Zungeru, Mmoloki Mangwala, Joseph Chuma]",Design and Implementation of Security in Healthcare Cloud Computing.
"[Kim-Kwang Raymond Choo, Jemal H. Abawajy, Md. Rafiqul Islam 0001]",Special Issue on Cyber Security in the Critical Infrastructure - Advances and Future Directions.
"[Marek R. Ogiela, Fatos Xhafa, Leonard Barolli]",Optimization and Security Issues for Next Generation Networks - Editorial.
"[Deepak Puthal, Surya Nepal, Rajiv Ranjan, Jinjun Chen]",A dynamic prime number based efficient security mechanism for big sensing data streams.
"[Zhiwei Wang, Cheng Cao, Nianhua Yang, Victor Chang]",ABE with improved auxiliary input for big data security.
"[Xuekai Du, ZhiHui Lv, Qiang Duan, Jie Wu 0003, Chengrong Wu]",LTSS - Load-Adaptive Traffic Steering and Forwarding for Security Services in Multi-Tenant Cloud Datacenters.
"[Jiliang Zhang 0002, Wei-Zheng Wang, Xingwei Wang, Zhihua Xia]",Enhancing Security of FPGA-Based Embedded Systems with Combinational Logic Binding.
Steve G. Langer,Cyber-Security Issues in Healthcare Information Technology.
"[Yu&apos;e Jiang, Jiaxiang Liu]",Health Monitoring System for Nursing Homes with Lightweight Security and Privacy Protection.
"[Uma R. Salunkhe, Suresh N. Mali]",Security Enrichment in Intrusion Detection System Using Classifier Ensemble.
"[Arun Kumar Sangaiah, Marimuthu Karuppiah, Xiong Li 0002]",Wireless and Mobile Networks - Security and Privacy Issues.
Xingwang Wang,The High Security Mechanisms Algorithm of Similarity Metrics for Wireless and Mobile Networking.
"[Liangmin Wang, Zhuo Lu, Hongjian Sun, Yantian Hou, Mengxing Huang]",Security and Privacy in Internet of Things with Crowd-Sensing.
"[Pengtao Yang, Guiling Sun, Jingfei He, Peiyao Zhou, Jiangjiang Liu]",A Student Information Management System Based on Fingerprint Identification and Data Security Transmission.
"[Marc Walterbusch, Adrian Fietz, Frank Teuteberg]",Missing cloud security awareness - investigating risk exposure in shadow IT.
"[Diego Cerdeiro, Marcin Dziubinski, Sanjeev Goyal]","Individual security, contagion, and network design."
"[Krishnendu Guha, Debasri Saha, Amlan Chakrabarti]",Real-Time SoC Security against Passive Threats Using Crypsis Behavior of Geckos.
"[Sheshadri Chatterjee, Arpan Kumar Kar, M. P. Gupta]",Critical Success Factors to Establish 5G Network in Smart Cities - Inputs for Security and Privacy.
"[Hodjat Hamidi, Saba Moradi]",Analysis of Consideration of Security Parameters by Vendors on Trust and Customer Satisfaction in E-Commerce.
"[Mohammed Adil Abbas, Jun-Pyo Hong]",Survey on Physical Layer Security in Downlink Networks.
"[Pavel Blazek, Kamil Kuca, Daniel Jun, Ondrej Krejcar]",Development of information and management system for laboratory based on open source licensed software with security logs extension.
Jia Cui,Model for evaluating the security of wireless network with fuzzy linguistic information.
"[Siavash Ghannadi, Mahdi Mehrtash, Mohammad Mohammadi, Mahdi Raoofat]",Determining inactive constraints in stochastic security-constrained unit commitment using cumulants.
"[Mostaan Khakpoor, Meysam Jafari-Nokandi, Ali Akbar Abdoos]",A new hybrid GA-fuzzy optimization algorithm for security-constrained based generation and transmission expansion planning in the deregulated environment.
"[Arvind Selwal, Sunil Kumar Gupta 0001, Surender Kumar]",Low overhead octet indexed template security scheme for multi-modal biometric system.
"[Vladimir Sobeslav, Ladislav Balik, Ondrej Hornig, Josef Horalek, Ondrej Krejcar]",Endpoint firewall for local security hardening in academic research environment.
"[Xinbin Zhao, Naiyang Deng, Ling Jing]",Application of image recognition in civil aviation security based on tensor learning.
"[Dai Watanabe, Hisao Sakazaki, Kunihiko Miyazaki]",Representative System and Security Message Transmission using Re-encryption Scheme Based on Symmetric-key Cryptography.
"[Daniel Woods, Ioannis Agrafiotis, Jason R. C. Nurse, Sadie Creese]",Mapping the coverage of security controls in cyber insurance proposal forms.
"[Yang Li, Menting Chen, Jian Wang]",Another Security Evaluation of SPA Countermeasures for AES Key Expansion in IoT Devices.
"[Jian Shen 0001, Dengzhi Liu, Qi Liu 0001, Debiao He, Xingming Sun]",An Enhanced Cloud Data Storage Auditing Protocol Providing Strong Security and Efficiency for Smart City.
"[WeiTao Song, Bin Hu, Xiu-Feng Zhao]",Optimizing LWE-based FHE for Better Security and Privacy Protection of Smart City.
"[T. Subha, S. Jayashri]",Public Auditing Scheme for Data Storage Security in Cloud Computing.
"[Fushan Wei, Qi Jiang 0001, Ruijie Zhang, Chuangui Ma]",A Privacy-Preserving Multi-Factor Authenticated Key Exchange Protocol with Provable Security for Cloud Computing.
"[Mingwu Zhang, Yudi Zhang, Hua Shen, Chunming Tang, Lein Harn]",Efficiently Obfuscating Anonymous Re-encryption Functionality with Average-Case Virtual Black-Box Security.
"[Guanglei Li, Huachun Zhou, Guanwen Li, Bohao Feng]",Application-aware and Dynamic Security Function Chaining for Mobile Networks.
"[Sang Soo Kim, Yong Jin Kim]",The effect of compliance knowledge and compliance support systems on information security compliance behavior.
"[Michele Bugliesi, Stefano Calzavara, Riccardo Focardi]",Formal methods for web security.
"[Chad Anderson, Richard L. Baskerville, Mala Kaul]",Information Security Control Theory - Achieving a Sustainable Reconciliation Between Sharing and Protecting the Privacy of Information.
"[Philip Menard, Gregory Bott, Robert E. Crossler]",User Motivations in Protecting Information Security - Protection Motivation Theory Versus Self-Determination Theory.
"[Sara Bahamou, Driss El Ouadghiri, Jean-Marie Bonnin]",When Game Theories Meets Security and Privacy Related Risk Assessment of Vehicular Networks (VANET).
"[Tzipora Halevi, Nasir D. Memon, James Levis, Ponnurangam Kumaraguru, Sumit Arora, Nikita Dagar, Fadi A. Aloul, Jay Chen]",Cultural and Psychological Factors in Cyber-Security.
"[Vicente Javier Clemente-Suárez, Montaña Diaz-Manzano, José Juan Robles-Pérez]",Use of Minicameras to Improve Operative Procedure in Security Forces.
"[Clemens Scott Kruse, Brenna Smith, Hannah Vanderlinden, Alexandra Nealand]",Security Techniques for the Electronic Health Records.
Selman Kulac,Security Belt for Wireless Implantable Medical Devices.
"[Fadele Ayotunde Alaba, Mazliza Othman, Ibrahim Abaker Targio Hashem, Faiz Alotaibi]",Internet of Things security - A survey.
"[Garima Chopra, Rakesh Kumar Jha, Sanjeev Jain]",A survey on ultra-dense network and emerging technologies - Security challenges and possible solutions.
"[Pimmy Gandotra, Rakesh Kumar Jha]",A survey on green communication and security challenges in 5G wireless communication networks.
"[Pimmy Gandotra, Rakesh Kumar Jha, Sanjeev Jain]",A survey on device-to-device (D2D) communication - Architecture and security issues.
"[Mengmeng Ge, Jin B. Hong, Walter Guttmann, Dong Seong Kim]",A framework for automating security analysis of the internet of things.
"[Muhammad Baqer Mollah, Md. Abul Kalam Azad, Athanasios Vasilakos]",Security and privacy challenges in mobile cloud computing - Survey and way ahead.
"[Ashish Singh, Kakali Chatterjee]",Cloud security issues and challenges - A survey.
"[Poonam Jindal, Brahmjit Singh]",Security-Performance Tradeoffs in a Class of Wireless Network Scenarios.
"[Tibor Jager, Florian Kohlar, Sven Schäge, Jörg Schwenk]",Authenticated Confidential Channel Establishment and the Security of TLS-DHE.
"[Jooyoung Lee 0001, Martijn Stam, John P. Steinberger]",The Security of Tandem-DM in the Ideal Cipher Model.
"[Dominique Schröder, Dominique Unruh]",Security of Blind Signatures Revisited.
"[Massimo Ficco, Michal Choras, Rafal Kozik]",Simulation platform for cyber-security and vulnerability analysis of critical infrastructures.
"[S. Nithya, K. Meena alias Jeyanthi]",Genetic algorithm based bacterial foraging optimization with three-pass protocol concept for heterogeneous network security enhancement.
"[V. Subramaniyaswamy, Logesh Ravi, M. Abejith, Sunil Umasankar, A. Umamakeswari]",Sentiment Analysis of Tweets for Estimating Criticality and Security of Events.
"[Iulian Neamtiu, Xuetao Wei, Michalis Faloutsos, Lorenzo Gomez, Tanzirul Azim, Yongjian Hu, Zhiyong Shan]",Improving Smartphone Security and Reliability.
"[Mark Tannian, Christina Schweikert, Ying Liu]",A Systems Security Analysis of Issuance and Verification of Birth Documents Enhanced with DNA Profiles.
"[Adrian Baldwin, Iffat Gheyas, Christos Ioannidis, David J. Pym, Julian Williams]",Contagion in cyber security attacks.
"[Xiaofei Qian, Xinbao Liu, Jun Pei, Panos M. Pardalos, Lin Liu]",A game-theoretic analysis of information security investment for multiple firms in a network.
"[Guanghui Wen, Wenwu Yu, Xinghuo Yu, Jinhu Lü]",Complex cyber-physical networks - From cybersecurity to security control.
"[Igor V. Kotenko, Igor Saenko, Alexey Kushnerevich]",Parallel big data processing system for security monitoring in Internet of Things networks.
"[Fulvio Valenza, Tao Su, Serena Spinoso, Antonio Lioy, Riccardo Sisto, Marco Vallini]",A formal approach for network security policy validation.
"[Hongjun Dai, Shulin Zhao, Kang Chen]",A chaos-oriented prediction and suppression model to enhance the security for cyber physical power systems.
"[Gurkan Tuna, Dimitrios Kogias, Vehbi Cagri Gungor, Cengiz Gezer, Erhan Taskin, Erman Ayday]",A survey on information security threats and solutions for Machine to Machine (M2M) communications.
"[Xiaojun Zhai, Amine Ait Si Ali, Abbes Amira, Faycal Bensaali]",ECG encryption and identification based security solution on the Zynq SoC for connected health systems.
"[Shafiullah Khan, Jaime Lloret, Houbing Song, Qinghe Du]",QoS Based Cooperative Communications and Security Mechanisms for Ad Hoc Sensor Networks.
"[Fei Yu 0007, Chin-Chen Chang 0001, Jian Shu, Iftikhar Ahmad, Jun Zhang, José María de Fuentes]",Recent Advances in Security and Privacy for Wireless Sensor Networks 2016.
"[Benjamin Tan, Morteza Biglari-Abhari, Zoran Salcic]",Towards decentralized system-level security for MPSoC-based embedded applications.
"[Syed Noorulhassan Shirazi, Antonios Gouglidis, Arsham Farshad, David Hutchison]",The Extended Cloud - Review and Analysis of Mobile Edge Computing and Fog From a Security and Resilience Perspective.
"[Samuel Chapman, Richard Smith, Leandros A. Maglaras, Helge Janicke]",Can a Network Attack Be Simulated in an Emulated Environment for Network Security Training?
"[Ella Kolkowska, Fredrik Karlsson, Karin Hedström]",Towards analysing the rationale of information security non-compliance - Devising a Value-Based Compliance analysis method.
Jozef Bucko,Security of Smart Banking Applications in Slovakia.
"[Momeng Liu, Juliane Krämer, Yu-pu Hu, Johannes A. Buchmann]",Quantum security analysis of a lattice-based oblivious transfer protocol.
"[Hao Huang, Qian Yan, Yao Zhao, Wei Lu, Zhenguang Liu, Zongpeng Li]",False data separation for data security in smart grids.
"[Yanwei Zhou, Bo Yang 0003]",Continuous leakage-resilient certificateless public key encryption with CCA security.
"[Kushal Anjaria, Arun Mishra]",Relation between cybernetics and information security - from Norbert Wiener&apos;s perspectives.
"[Kushal Anjaria, Arun Mishra]",Relating Wiener&apos;s cybernetics aspects and a situation awareness model implementation for information security risk management.
"[Damai Jessica Prathyusha, Shaik Naseera]",A study on cloud security issues.
"[Wei Jiang, Paul Pop, Ke Jiang]",Design optimization for security- and safety-critical distributed real-time applications.
"[Anju P. Johnson, Sikhar Patranabis, Rajat Subhra Chakraborty, Debdeep Mukhopadhyay]",Remote dynamic partial reconfiguration - A threat to Internet-of-Things and embedded security applications.
"[Martha Johanna Sepúlveda, Daniel Flórez, Vincent Immler, Guy Gogniat, Georg Sigl]",Efficient security zones implementation through hierarchical group key management at NoC-based MPSoCs.
"[Véronique Van Vlasselaer, Tina Eliassi-Rad, Leman Akoglu, Monique Snoeck, Bart Baesens]",GOTCHA! Network-Based Fraud Detection for Social Security Fraud.
"[Muhammad Adeka, Kelvin O. O. Anoh, Mohammad Ngala, Simon J. Shepherd, E. Ibrahim, Issa T. E. Elfergani, Ash S. Hussaini, Jonathan Rodriguez, R. A. Abd-Alhameed]","Africa - cyber-security and its mutual impacts with computerisation, miniaturisation and location-based authentication."
"[Julio B. Clempner, Alexander S. Poznyak]",Using the extraproximal method for computing the shortest-path mixed Lyapunov equilibrium in Stackelberg security games.
"[Kaiyuan Yang, David Blaauw, Dennis Sylvester]",Hardware Designs for Security in Ultra-Low-Power IoT Systems - An Overview and Survey.
"[Takako Takai-Igarashi, Kengo Kinoshita, Masao Nagasaki, Soichi Ogishima, Naoki Nakamura, Sachiko Nagase, Satoshi Nagaie, Tomo Saito, Fuji Nagami, Naoko Minegishi, Yoichi Suzuki, Kichiya Suzuki, Hiroaki Hashizume, Shinichi Kuriyama, Atsushi Hozawa, Nobuo Yaegashi, Shigeo Kure, Gen Tamiya, Yoshio Kawaguchi, Hiroshi Tanaka, Masayuki Yamamoto]",Security controls in an integrated Biobank to protect privacy in data sharing - rationale and study design.
"[Yong Chen 0004, Hai Jin, Han Jiang, Dechao Xu, Ran Zheng, Haocheng Liu]",Implementation and Optimization of GPU-Based Static State Security Analysis in Power Systems.
"[Guanwen Li, Huachun Zhou, Bohao Feng, Guanglei Li, Taixin Li, Qi Xu, Wei Quan]",Fuzzy Theory Based Security Service Chaining for Sustainable Mobile-Edge Computing.
"[Wonhyung Park, Byeong Ho Kang]",An Enhancement of Optimized Detection Rule of Security Monitoring and Control for Detection of Cyberthreat in Location-Based Mobile System.
"[Corey M. Angst, Emily S. Block, John D&apos;Arcy, Ken Kelley]",When Do IT Security Investments Matter? Accounting for the Influence of Institutional Factors in the Context of Healthcare Data Breaches.
"[Der-Jiunn Deng, Alexey V. Vinel, Mohammed Atiquzzaman]","Editorial - Recent Advances in Heterogeneous Networking for Quality, Reliability, Security and Robustness."
"[Tatiana Galibus, Thiago P. de B. Vieira, Edison Pignaton de Freitas, Robson de Oliveira Albuquerque, João Paulo Carvalho Lustosa da Costa, Rafael Timóteo de Sousa Júnior, Viktor Krasnoproshin, Anton Zaleski, H. E. R. M. Vissia, Giovanni Del Galdo]",Offline Mode for Corporate Mobile Client Security Architecture.
"[Yinglong Ge, Xianchun Zhang, Bo Han]",Complex IoT Control System Modeling from Perspectives of Environment Perception and Information Security.
"[Sangheon Pack, György Dán, Kamal Singh]","Editorial - Recent Advances in Heterogeneous Networking for Quality, Reliability, Security and Robustness."
"[Mingjun Wang, Zheng Yan 0002]",A Survey on Security in D2D Communications.
Dávid Szeszlér,Security games on matroids.
"[Ibrahim Mezzah, Hamimi Chemali, Omar Kermia]",Emulation-based fault analysis on RFID tags for robustness and security evaluation.
"[Masoom Alam, Saif Ur Rehman Malik, Qaisar Javed, Abid Khan, Shamaila Bisma Khan, Adeel Anjum, Nadeem Javed, Adnan Akhunzada, Muhammad Khurram Khan]",Formal modeling and verification of security controls for multimedia systems in the cloud.
"[Mohammad A. Alsmirat, Islam Obaidat, Yaser Jararweh, Mohammed Al-Saleh]",A security framework for cloud-based video surveillance system.
"[Oussama Benrhouma, Houcemeddine Hermassi, Safya Belghith]",Security analysis and improvement of an active watermarking system for image tampering detection using a self-recovery scheme.
Mohsen A. M. El-Bendary,FEC merged with double security approach based on encrypted image steganography for different purpose in the presence of noise and different attacks.
"[Said E. El-Khamy, Noha O. Korany, Marwa H. El-Sherif]",A security enhanced robust audio steganography algorithm for image hiding using sample comparison in discrete wavelet transform domain and RSA encryption.
"[Mohammad Heydari, Seyed Mohammad Sajad Sadough, Shehzad Ashraf Chaudhry, Mohammad Sabzinejad Farash, Khalid Mahmood]",An improved one-to-many authentication scheme based on bilinear pairings with provable security for mobile pay-TV systems.
"[Mohd Rizal Mohd Isa, Salem Aljareh, Zaharin Yusoff]",A watermarking technique to improve the security level in face recognition systems.
Hwa-Young Jeong,A priority for WSN in ubiquitous environment - multimedia security requirements.
"[Kye-Dong Jung, Seok-Jae Moon, Jin-Mook Kim]",Data access control method for multimedia content data sharing and security based on XMDR-DAI in mobile cloud storage.
"[Bong-hyun Kim, Ki-Chan Kim, Sungeon Hong, Sang-Young Oh]",Development of cyber information security education and training system.
Jun Li,A synthetic research on the multimedia data encryption based mobile computing security enhancement model and multi-channel mobile human computer interaction framework.
"[Zhenghui Liu, Jiwu Huang, Xingming Sun, Chuanda Qi]",A security watermark scheme used for digital speech forensics.
"[Nadia Nedjah, Rafael Soares Wyant, Luiza de Macedo Mourelle]",Efficient biometric palm-print matching on smart-cards for high security and privacy.
"[Ankur Rai, Harsh Vikram Singh]",SVM based robust watermarking for enhanced medical image security.
"[Srividhya Sridhar, R. Sathishkumar, Gnanou Florence Sudha]",Adaptive halftoned visual cryptography with improved quality and security.
"[Neha Tayal, Ritesh Bansal, Sangeeta Dhal, Shailender Gupta]",A novel hybrid security mechanism for data communication networks.
"[Hadia Tazeem, Muhammad Shahid Farid, Arif Mahmood]",Improving security surveillance by hidden cameras.
"[Falgun N. Thakkar, Vinay Kumar Srivastava]",A fast watermarking algorithm with enhanced security using compressive sensing and principle components and its performance analysis against a set of standard attacks.
"[Yitao Yang, Zheng Xu, Liying Liu, Guozi Sun]",A security carving approach for AVI video based on frame size and index.
"[Zhiyong Zhang 0002, Kim-Kwang Raymond Choo]",Guest Editorial - Multimedia Social Network Security and Applications.
"[Degang Xu, Hongtao Xie, Chenggang Yan]",Triple-Bit Quantization with Asymmetric Distance for Image Content Security.
"[Suntae Kim, Malrey Lee, Jongho Lee]",A study of fuzzy membership functions for dependence decision-making in security robot system.
Nei Cato,On Next Generation Network Security.
"[Xiao Fu, Yun Gao, Bin Luo, Xiaojiang Du, Mohsen Guizani]",Security Threats to Hadoop - Data Leakage Attacks and Investigation.
"[Daojing He, Sammy Chan, Mohsen Guizani]",Win-Win Security Approaches for Smart Grid Communications Networks.
"[Aiqing Zhang, Xiaodong Lin]",Security-Aware and Privacy-Preserving D2D Communications in 5G.
"[Burcin Bozkaya, F. Sibel Salman, Kaan Telciler]",An adaptive and diversified vehicle routing approach to reducing the security risk of cash-in-transit operations.
Leon Adato,Monitoring and automation - it&apos;s easier than you think.
John Bambenek,Nation-state attacks - the new normal.
Phil Beckett,Data and IP are the new nuclear - facing up to state-sponsored threats.
Jack Bedell-Pearce,When big data and Brexit collide.
Jon Condra,Assessing nation state threats.
Tim Erridge,Optimising risk management.
Tim Erridge,Gaining strength.
Tim Erridge,Good will hunting.
Tim Erridge,A framework for threats.
Travis Farral,Nation-state attacks - practical defences against advanced adversaries.
Jacob Gajek,Macro malware - dissecting a malicious Word document.
Jamie Graves,Data flow management - why and how.
Jamie Graves,What is intellectual property and how do you protect it?
Andy Green,Ransomware and the GDPR.
Eileen Haggerty,Healthcare and digital transformation.
Nick Hawkins,Why communication is vital during a cyber-attack.
Lewis Henderson,National infrastructure - the next step for seasoned hackers.
Mark Hickman,The threat from inside.
Brian Laing,Cyber global warming - six steps towards meltdown.
Filippo Lauria,"How to footprint, report and remotely secure compromised IoT devices."
Andy Lilly,IMSI catchers - hacking mobile communications.
Eric Lundbohm,Understanding nation-state attacks.
Jeff Luszcz,How maverick developers can create risk in the software and IoT supply chain.
Tom Major,Weaponising threat intelligence data.
Steve Mansfield-Devine,Open source software - determining the real risk posed by vulnerabilities.
Steve Mansfield-Devine,A process of defence - securing industrial control systems.
Steve Mansfield-Devine,Fileless attacks - compromising targets without malware.
Steve Mansfield-Devine,Threat hunting - assuming the worst to strengthen resilience.
Steve Mansfield-Devine,Leaks and ransoms - the key threats to healthcare organisations.
Steve Mansfield-Devine,Adapting to the disappearing perimeter.
Steve Mansfield-Devine,Weaponising the Internet of Things.
Steve Mansfield-Devine,Going critical - attacks against national infrastructure.
Malcolm Murphy,The Internet of Things and the threat it poses to DNS.
Simon Parkinson,Use of access control to minimise ransomware impact.
Karen Renaud,Webcam covering phenomenon.
Karen Renaud,Facts do not change minds.
Karen Renaud,It makes you Wanna Cry.
"[Karen Renaud, Gareth Renaud]","To phish, or not to phish..."
"[Nick Robinson, Keith Martin]",Distributed denial of government - the Estonian Data Embassy Initiative.
SM-D,Hiding Behind the Keyboard.
SM-D,Practical Packet Analysis Chris Sanders.
SM-D,We Know All About You Rhodri Jeffreys-Jones.
Gert-Jan Schenk,Retailers must focus on the growing cyberthreat landscape.
Daniel Shugrue,Fighting application threats with cloud-based WAFs.
Vincent Smyth,Software vulnerability management - how intelligence helps reduce the risk.
Chris Steffen,Should jump box servers be consigned to history?
Colin Tankard,The Firewall - The eSignature comes of age.
Colin Tankard,Securing emails.
Colin Tankard,Who are the attackers?
Colin Tankard,BYOE - New kid on the block.
"[Mark Taylor, Denis Reilly, Brett Lempereur]",An access control management protocol for Internet of Things devices.
Adam Vincent,State-sponsored hackers - the new normal for business.
Bill Welch,Exploiting the weaknesses of SS7.
Michael Wood,How to make SD-WAN secure.
Alan Zeichick,Enabling innovation by opening up the network.
"[Inho Hwang, Daejin Kim, Taeha Kim, Sanghyun Kim]",Why not comply with information security? An empirical approach for the causes of non-compliance.
"[Ana Sofía Zalazar, Luciana C. Ballejos, Sebastian Rodriguez]",Security and Compliance Ontology for Cloud Service Agreements.
"[Priya Kumar, Shalmali Milind Naik, Utkarsha Ramesh Devkar, Marshini Chetty, Tamara L. Clegg, Jessica Vitak]",&apos;No Telling Passcodes Out Because They&apos;re Private&apos; - Understanding Children&apos;s Mental Models of Privacy and Security Online.
"[Susan E. McGregor, Elizabeth Anne Watkins, Kelly Caine]",Would You Slack That? - The Impact of Security and Privacy on Cooperative Newsroom Work.
"[Hyun Suk Chai, Jongpil Jeong, Chulhee Cho]",Security analysis of fast inter-LMA domain handover scheme in proxy mobile IPv6 networks.
"[Yanjiang Yang, Zhuo Wei, Youcheng Zhang, Haibing Lu, Kim-Kwang Raymond Choo, Haibin Cai]",V2X security - A case study of anonymous authentication.
"[Nayeem Islam, Saumitra Das, Yin Chen]",On-Device Mobile Phone Security Exploits Machine Learning.
"[Zekeriyya E. Ankarali, Hüseyin Arslan]",Cyclic feature suppression for physical layer security.
"[Theofilos Chrysikos, Konstantinos Birkos, Tasos Dagiuklas, Stavros Kotsopoulos]",Wireless Information-Theoretic Security - Theoretical analysis &amp; experimental measurements with multiple eavesdroppers in an outdoor obstacle-dense MANET.
