"[Yun Joo Chyung, Jee Yon Lee, Sun Young Jung, Pyoung Won Kim]",Weighted aggregation and fuzzy-concept-guided signal resemblance and expansion for video format conversion.
"[Claudiu Cobârzan, Klaus Schoeffmann, Werner Bailer, Wolfgang Hürst, Adam Blazek, Jakub Lokoc, Stefanos Vrochidis, Kai Uwe Barthel, Luca Rossetto]",Interactive video search tools - a detailed analysis of the video browser showdown 2015.
"[Chaoran Cui, Jialie Shen, Jun Ma 0001, Tao Lian]",Social tag relevance learning via ranking-oriented neighbor voting.
"[Chen Cui, Shen Wang, Xiamu Niu]",A novel watermarking for DIBR 3D images with geometric rectification based on feature points.
"[Mohanapriya D., Mahesh K.]",A novel foreground region analysis using NCP-DBP texture pattern for robust visual tracking.
"[Tasos Dagiuklas, Raimund Schatz, Pedro Assuncao, Luigi Atzori]",Editorial - Special Issue on &quot;QoE Monitoring and Management for Future Internet Media Services&quot;.
"[Kaveh Darabi, Gheorghita Ghinea]",User-centred personalised video abstraction approach adopting SIFT features.
"[Jatindra Kumar Dash, Sudipta Mukhopadhyay, Rahul Das Gupta]",Multiple classifier system using classification confidence for texture classification.
"[Nuno Datia, João Moura Pires, Nuno Correia]",Time and space for segmenting personal photo sets.
"[Deepanwita Datta, Sanjay Kumar Singh, C. Ravindranath Chowdary]",Bridging the gap - effect of text query reformulation in multimodal retrieval.
"[Fabian Lorenzo Dayrit, Yuta Nakashima, Tomokazu Sato, Naokazu Yokoya]",Increasing pose comprehension through augmented reality reenactment.
"[Mohammad Mahdi Dehshibi, Mohamad Sourizaei, Mahmood Fazlali, Omid Talaee, Hossein Samadyar, Jamshid Shanbehzadeh]",A hybrid bio-inspired learning algorithm for image segmentation using multilevel thresholding.
"[Bhabesh Deka, Maitrayee Handique, Sumit Datta]",Sparse regularization method for the detection and removal of random-valued impulse noise.
"[Xing Deng, Feipeng Da, Haijian Shao]",Expression-robust 3D face recognition based on feature-level fusion and feature-region fusion.
"[Huiping Deng, Jin Wu, Lei Zhu, Zengqiang Yan, Li Yu 0003]",Texture edge-guided depth recovery for structured light-based depth sensor.
"[Juan Deng, Shu Zhao, Yan Wang, Lei Wang, Hong Wang, Hong Sha]",Image compression-encryption scheme combining 2D compressive sensing with discrete fractional random transform.
"[Naziha Dhibi, Akram Elkefi, Wajdi Bellil, Chokri Ben Amar]",Multi-layer compression algorithm for 3D deformed mesh based on multi library wavelet neural network architecture.
"[Ricardo Dias, Daniel Gonçalves 0002, Manuel J. Fonseca]",From manual to assisted playlist creation - a survey.
"[Helen V. Díez, Alvaro Segura, Alejandro García-Alonso, David Oyarzun]",3D model management for e-commerce.
"[Sihao Ding, Gang Li, Ying Li, Xinfeng Li, Qiang Zhai, Adam C. Champion, Junda Zhu, Dong Xuan, Yuan F. Zheng]",SurvSurf - human retrieval on large surveillance video data.
"[Ing-Jr Ding, Jia-Yi Shi]",Hybridized estimations of support vector machine free parameters C and γ using a fuzzy learning strategy for microphone array-based speaker recognition in a Kinect sensor-deployed environment.
"[Yong Ding, Zheng Xu, Yubin Zhang, Ke Sun]",Fast lane detection based on bird&apos;s eye view and improved random sample consensus algorithm.
"[Minh-Quoc Do, Chien-Han Hung, Chang-Hong Lin]",Robot navigation control using vision based steering wheel.
"[Xingshuai Dong, Bo He, Xinghui Dong, Junyu Dong]",Monocular visual-IMU odometry using multi-channel image patch exemplars.
"[Luan Dong, Qin Yan, Yong Lv, Shuyu Deng]",Full band watermarking in DCT domain with Weibull model.
"[Jianfang Dou, Qin Qin, Zimei Tu]",Robust visual tracking based on generative and discriminative model collaboration.
"[Shaoyi Du, Bo Bi, Guanglin Xu, Jihua Zhu, Xuetao Zhang]",Robust non-rigid point set registration via building tree dynamically.
"[Songlin Du, Yaping Yan, Yide Ma]",LAP - a bio-inspired local image structure descriptor and its applications.
"[Emilija Stojmenova Duh, Natasa Koceska, Saso Koceski]",Game-based learning - educational game Azbuka to help young children learn writing Cyrillic letters.
"[Emil Dumic, Sonja Grgic, Kresimir Sakic, Pedro Miguel Regalo Rocha, Luís Alberto da Silva Cruz]",3D video subjective quality - a new database and grade comparison study.
"[Ionut C. Duta, Jasper R. R. Uijlings, Bogdan Ionescu, Kiyoharu Aizawa, Alexander G. Hauptmann, Nicu Sebe]",Efficient human action recognition using histograms of motion gradients and VLAD with descriptor shape information.
"[El-Sayed M. El-Alfy, Muhammad Ali Qureshi]",Robust content authentication of gray and color images using lbp-dct markov-based features.
Mohsen A. M. El-Bendary,FEC merged with double security approach based on encrypted image steganography for different purpose in the presence of noise and different attacks.
"[Said E. El-Khamy, Noha O. Korany, Marwa H. El-Sherif]",A security enhanced robust audio steganography algorithm for image hiding using sample comparison in discrete wavelet transform domain and RSA encryption.
"[Ayoub Ellahyani, Mohamed El Ansari]",Mean shift and log-polar transform for road sign detection.
"[Zied Elleuch, Kirmene Marzouki]",Multi-index structure based on SIFT and color features for large scale image retrieval.
"[Pouriya Etezadifar, Hassan Farsi]",Scalable video summarization via sparse dictionary learning and selection simultaneously.
"[Chunxiao Fan, Fu Li, Guangming Shi, Yi Niu, Fei Qi, Xuemei Xie, Dandan Jiao]",A hierarchical multiplier-free architecture for HEVC transform.
"[Huaiyu Fan, Junshan Ma, Huaihai Fan, Zhihan Lv]",Iterative quadtree decomposition based automatic selection of the seed point for ultrasound breast tumor images.
"[Jiyun Fan, Shangbo Zhou, Muhammad Abubakar Siddique]",Fuzzy color distribution chart -based shot boundary detection.
"[Jiunn-Tsair Fang, Chi-Ting Day, Pao-Chi Chang]",Deep feature learning for cover song identification.
"[Shancheng Fang, Hongtao Xie, Zhineng Chen, Shiai Zhu, Xiaoyan Gu, Xingyu Gao]",Detecting Uyghur text in complex background images with convolutional neural network.
Kamel Mohamed Faraoun,Design of a new efficient and secure multi-secret images sharing scheme.
"[P. Mohamed Fathimal, P. Arockia Jansi Rani]",Hierarchical threshold secret sharing scheme for color images.
"[Suliman Mohamed Fati, Putra Sumari]",Content-aware replica placement strategy for IPTV services over peer-service area architecture.
"[Hamid R. Fazlali, Shadrokh Samavi, Nader Karimi, Shahram Shirani]",Adaptive blind image watermarking using edge pixel concentration.
"[Mengjuan Fei, Zhaojie Ju, Xiantong Zhen, Jing Li]",Real-time visual tracking based on improved perceptual hashing.
"[Shanshan Feng, Jian Cao]",Improving group recommendations via detecting comprehensive correlative information.
"[Tao Feng, Xia Mao]",Multimodal Data fusion for SRGPS antenna motion error reduction.
"[Fubiao Feng, Qiong Ran, Wei Li]",Multi-level fusion of graph based discriminant analysis for hyperspectral image classification.
"[Yuncong Feng, Xuanjing Shen, Haipeng Chen, Xiaoli Zhang]",Segmentation fusion based on neighboring information for MR brain images.
"[Junhong Feng, Jie Zhang, Xiaoshu Zhu, Wenwu Lian]",A novel chaos optimization algorithm.
"[Pedro Fernandes, Marco V. Bernardo, António M. G. Pinheiro, Paulo Torrão Fiadeiro, Manuela Pereira]",Quality comparison of the HEVC and VP9 encoders performance.
"[Carolina Toledo Ferraz, Adilson Gonzaga]",Object classification using a local texture descriptor and a support vector machine.
"[Carlos Alberto F. Pimentel Filho, Benjamin Bustos, Arnaldo de Albuquerque Araújo, Silvio Jamil Ferzoli Guimarães]",Combining pixel domain and compressed domain index for sketch based image retrieval.
Agostino Forestiero,Bio-inspired algorithm for outliers detection.
"[Mehran Fotouhi, Sadjad Fouladi, Shohreh Kasaei]",Projection matrix by orthogonal vanishing points.
"[Mohamed M. Fouad, Richard M. Dansereau]",An optimized parallel order scheme of the deblocking filtering process for enhancing the performance of the HEVC standard using GPUs.
"[Olfa Fraj, Raja Ghozi, Meriem Jaïdane-Saïdane]",Audio texturedness indicator based on a direct and reverse short listening time analysis.
"[Zhizhong Fu, Yuan Li, Jin Xu, Honggang Wu, Yongwen Lai]",Super resolution for multiview mixed resolution images in transform-domain with optimal weight.
"[Chunxiao Fu, Pengle Zhang, Jiang Jiang, Ke-Wei Yang, Zhihan Lv]",A Bayesian approach for sleep and wake classification based on dynamic time warping method.
"[Yinghua Fu, Tao Zhang, Wenjin Wang]",Sparse coding-based space-time video representation for action recognition.
"[Yago Sanchez de la Fuente, Robert Skupin, Thomas Schierl]",Video processing for panoramic streaming using HEVC and its scalable extensions.
"[Veera Senthil Kumar G, S. Vasuki]",Clustering based band selection for endmember extraction using simplex growing algorithm in hyperspectral images.
"[Etienne Gadeski, Hervé Le Borgne, Adrian Popescu 0001]",Fast and robust duplicate image detection on the web.
"[Sibaji Gaj, Anoop Kumar Rathore, Arijit Sur, Prabin Kumar Bora]",A robust watermarking scheme against frame blending and projection attacks.
"[Z. Gao, S. H. Li, G. T. Zhang, Y. J. Zhu, C. Wang, H. Zhang]",Evaluation of regularized multi-task leaning algorithms for single/multi-view human action recognition.
"[Tao Gao, X. M. Zhao, Ting Chen, Z. W. Liu, Ce Ni]",Face description based on adaptive local weighted Gabor comprehensive histogram feature.
"[Elena Garces, Aseem Agarwala, Aaron Hertzmann, Diego Gutierrez]",Style-based exploration of illustration datasets.
"[Erik Geelhoed, Kuldip Singh-Barmi, Ian Biscoe, Pablo César, Jack Jansen, Chen Wang, Rene Kaiser]",Co-present and remote audience experiences - intensity and cohesion.
"[Rosella Gennari, Alessandra Melonio, Santina Torello]",Gamified probes for cooperative learning - a case study.
"[Behrouz Shahgholi Ghahfarokhi, Neda Moghim, Shayan Eftekhari]",Reducing channel zapping time in live TV broadcasting over content centric networks.
"[Shahram Ghahremani, Mohammad Ghanbari]",Error resilient video transmission in ad hoc networks using layered and multiple description coding.
"[Davood Gharavian, Mahdi Bejani, Mansour Sheikhan]",Audio-visual emotion recognition using FCBF feature selection method and particle swarm optimization for fuzzy ARTMAP neural networks.
"[Wajdi Ghezaiel, Amel Ben Slimane Rahmouni, Ezzedine Ben Braiek]",Nonlinear multi-scale decomposition by EMD for Co-Channel speaker identification.
"[Deepak Ghimire, SungHwan Jeong, Joonwhoan Lee, Sang Hyun Park]",Facial expression recognition based on local region specific features and support vector machines.
"[Deepak Ghimire, Joonwhoan Lee, Ze-Nian Li, SungHwan Jeong]",Recognition of facial expressions based on salient geometric features and support vector machines.
"[Gabriele Gianini, Alessandro Rizzi]",A fuzzy set approach to Retinex spray sampling.
"[Kyungmin Go, Myungchul Kim, Sungwon Kang, Yohaan Yoon]",A systematic reallocation and prioritization scheme for error-resilient transmission of video packets.
Hadi Grailu,Improving the fingerprint verification performance of set partitioning coders at low bit rates.
"[Aleksei Grigorev, Feng Jiang, Seungmin Rho, Worku J. Sori, Shaohui Liu, Sergey Sai]",Depth estimation from single monocular images using deep hybrid network.
"[Yanfeng Gu, Zhimin Cao, Limin Dong]",A hierarchical energy minimization method for building roof segmentation from airborne LiDAR data.
"[Wei Gu, Zhihan Lv, Ming Hao]",Change detection method for remote sensing images based on an improved Markov random field.
"[Anjan Gudigar, Shreesha Chokkadi, U. Raghavendra, U. Rajendra Acharya]",Multiple thresholding and subspace based approach for detection and recognition of traffic sign.
"[Li Gun, Li Cuihua, Zhu Yingpan, Huang Feijiang]",An improved speckle-reduction algorithm for SAR images based on anisotropic diffusion.
"[Li Gun, Zhu Ran, Chai Honglei]",A contour detector with improved corner detection.
"[Joze Guna, Emilija Stojmenova Duh, Matevz Pogacnik]",Users&apos; viewpoint of usability and user experience testing procedure - gaining methodological insights in a case of an interactive HbbTV application.
"[Joze Guna, Emilija Stojmenova, Andrej Kos, Matevz Pogacnik]",The TV-WEB project - combining internet and television - lessons learnt from the user experience studies.
"[Lijun Guo, Ting-Ting Cheng, Yuanjie Huang, Jieyu Zhao, Rong Zhang]",Unsupervised video object segmentation by spatiotemporal graphical model.
"[Min Guo, Xiaohong Hou, Yuting Ma, Xiaojun Wu]",Facial expression recognition using ELBP based on covariance matrix transform in KLT.
"[Jing-Ming Guo, Yun-Fu Liu, Jiann-Der Lee, Yu-Quan Tzeng]",Blind prediction-based wavelet watermarking.
"[Yina Guo, Qijia Liu, Anhong Wang, Chaoli Sun, Wenyan Tian, Ganesh R. Naik, Ajith Abraham]",Optimized phase-space reconstruction for accurate musical-instrument signal classification.
"[Haifeng Guo, Shoubao Su, Zhoubao Sun]",Image tag recommendation based on friendships.
"[Songrui Guo, Guanghua Tan, Huawei Pan, Lin Chen, Chunming Gao]",Face alignment under occlusion based on local and global feature regression.
"[Fan Guo, Jin Tang, Xile Wang]",Gesture recognition of traffic police based on static and dynamic descriptor fusion.
"[Cheng Guo, Qiongqiong Yuan, Kun Lu 0003, Mingchu Li, Zhangjie Fu]","(t, n) Threshold secret image sharing scheme with adversary structure."
"[Zhizhi Guo, Qian-Xiang Zhou, Zhongqi Liu]",Appearance-based gaze estimation under slight head motion.
"[P. K. Gupta, B. T. Maharaj, Reza Malekian]",A novel and secure IoT based cloud centric architecture to perform predictive analysis of users activities in sustainable health centres.
"[Zobeida Jezabel Guzman-Zavaleta, Claudia Feregrino Uribe, Miguel Morales-Sandoval, Alejandra Menendez-Ortiz]",A robust and low-cost video fingerprint extraction method for copy detection.
"[Tran Thi Thu Ha, Yonggwan Won, Jinsul Kim]",An efficient hybrid push-pull methodology for peer-to-peer video live streaming system on mobile broadcasting social media.
"[Lacheheb Hadjer, Saliha Aouat]",SIMIR - New mean SIFT color multi-clustering image retrieval.
"[Ahmed Hagag, Xiaopeng Fan, Fathi E. Abd El-Samie]",Hyperspectral image coding and transmission scheme based on wavelet transform and distributed source coding.
"[Mimoun Hamdi, Rhouma Rhouma, Safya Belghith]",An appropriate system for securing real-time voice communication based on ADPCM coding and chaotic maps.
"[Izem Hamouchene, Saliha Aouat]",A new approach for texture segmentation based on NBP method.
"[Wei Han, Jun Chu, Lingfeng Wang, Chunhong Pan]",Edge-directed single image super-resolution via cross-resolution sharpening function learning.
"[Hong Han, Jingxiang Gou]",Directional geometric histogram feature extraction and applications.
"[Aili Han, Feilin Han, Jing Hao, Yahui Yuan]",An improved saliency detection method based on non-uniform quantification and channel-weighted color distance.
"[Mengxiong Han, Hai-Miao Hu, Yang Liu, Chi Zhang, Rong-Peng Tian, Jin Zheng]",An auto-encoder-based summarization algorithm for unstructured videos.
"[Siang Thye Hang, Masaki Aono]",Bi-linearly weighted fractional max pooling - An extension to conventional max pooling for deep convolutional neural network.
"[Tong Hao, Qian Wang, Dan Wu, Jinsheng Sun]",A unified framework for cross-modality 3D model retrieval.
"[Jingbin Hao, Haifeng Yang, Zhongkai Li]",Research of the reconstruction method for the image feature of non-rigid 3D point cloud.
"[Ming Hao, Hua Zhang 0005, Zhenxuan Li, Bingqian Chen]",Unsupervised change detection using a novel fuzzy c-means clustering simultaneously incorporating local and global information.
"[Mohammad Hasheminejad, Hassan Farsi]",Frame level sparse representation classification for speaker verification.
"[Qian He, Lihong Huang]",Bayesian image reconstruction for positron emission tomography based on anisotropic median-diffusion.
"[Junhui He, Weiqiang Lan, Shaohua Tang]",A secure image sharing scheme with high quality stego-images based on steganography.
"[Chen He, Ling-Qiang Ran, Lei Wang, Xueqing Li]",Point set surface compression based on shape pattern analysis.
"[Lei He 0002, Jieqing Tan, Xing Huo, Chengjun Xie]",A novel super-resolution image and video reconstruction approach based on Newton-Thiele&apos;s rational kernel in sparse principal component analysis.
"[Wei He, Xiaofeng Zhu, Debo Cheng, Rongyao Hu, Shichao Zhang]",Low-rank unsupervised graph feature selection via feature self-representation.
"[Yifeng He, Ziyang Zhang, Xiaoming Nan, Ning Zhang, Fei Guo, Edward Rosales, Ling Guan]",vConnect - perceive and interact with real world from CAVE.
"[M. Heidari, Shadrokh Samavi, S. Mohamad R. Soroushmehr, Shahram Shirani, Nader Karimi, Kayvan Najarian]",Framework for robust blind image watermarking based on classification of attacks.
"[Houcemeddine Hermassi, Mimoun Hamdi, Rhouma Rhouma, Safya Belghith]",A joint encryption-compression codec for speech signals using the ITU-T G.711 standard and chaotic map.
"[Mohammad Heydari, Seyed Mohammad Sajad Sadough, Shehzad Ashraf Chaudhry, Mohammad Sabzinejad Farash, Khalid Mahmood]",An improved one-to-many authentication scheme based on bilinear pairings with provable security for mobile pay-TV systems.
"[Sawsan A. Hiary, Iyad F. Jafar]",An efficient multi-predictor reversible data hiding algorithm based on performance evaluation of different prediction schemes.
"[Ivan Himawan, Wei Song 0007, Dian Tjondronegoro]",Impact of automatic region-of-interest coding on perceived quality in mobile video.
"[Yassine Himeur, Abdelkrim Boukabou]",Robust image transmission over powerline channel with impulse noise.
"[Daniel Hládek, Ján Stas, Stanislav Ondás, Jozef Juhár, László Kovács]",Learning string distance with smoothing for OCR spelling correction.
"[Long Nguyen Hoang, Jai E. Jung]",Statistical approach for figurative sentiment analysis on Social Networking Services - a case study on Twitter.
"[Wien Hong, Tung-Shou Chen, Zhao-Xia Yin, Bin Luo, Yuanbo Ma]",Data hiding in AMBTC images using quantization level modification and perturbation technique.
"[Wien Hong, Yuan-bo Ma, Hung-Che Wu, Tung-Shou Chen]",An efficient reversible data hiding method for AMBTC compressed images.
"[Xudong Hong, Zhengtao Yu 0001, Moming Tang, Yantuan Xian]",Cross-lingual event-centered news clustering based on elements semantic correlations of different news.
"[Chaoqun Hong, Jun Yu, Jane Jia You, Zhiwen Yu, Xuhui Chen]",Three-dimensional image-based human pose recovery with hypergraph regularized autoencoders.
"[Martin Hornansky, John K. Zao]",Customizing short-length LT codes with evolution strategies for video streaming protection.
"[Jie Hou, Tao Gao, Ping Wang]",Flow feature analysis and extraction for classifying axisymmetric vector field patterns.
"[Yonghong Hou, Yilin Ye, Jianjun Lei, Wei Xiang, Yao Guo, Bo Cui]",Rate control for HEVC based on spatio-temporal context and motion complexity.
"[Chih-Hsien Hsia, Jing-Ming Guo, Chong-Sheng Wu]",Finger-vein recognition based on parametric-oriented corrections.
"[Meng-Yen Hsieh, Wen-Kuang Chou, Kuan-Ching Li]",Building a mobile movie recommendation service by user rating and APP usage with linked data on Hadoop.
"[Chung-Yang Hsieh, Wei-Yang Lin]",Video-based human action and hand gesture recognition by fusing factored matrices of dual tensors.
"[Chi-Wen Hsieh, Hsian-Chuan Liu, Tai-Lang Jong, Chih-Yen Chen]",A hierarchical algorithm for phalangeal and epiphyseal/metaphyseal segmentation.
"[Che-Hao Hsu, Wen-Huang Cheng, Kai-Lung Hua]",HoloTabletop - an anamorphic illusion interactive holographic-like tabletop system.
"[Che-Hao Hsu, Wen-Huang Cheng, Yi-Leh Wu, Wen-Hsiung Huang, Tao Mei, Kai-Lung Hua]",CrossbowCam - a handheld adjustable multi-camera system.
"[Che-Hao Hsu, Yi-Leh Wu, Weng-Huang Cheng, Yu-Jen Chen, Kai-Lung Hua]",HoloTube - a low-cost portable 360-degree interactive autostereoscopic display.
"[Zhaozheng Hu, Dongfang Bai]",Planar object detection from 3D point clouds based on pyramid voxel representation.
"[Yu-Chen Hu, Kim-Kwang Raymond Choo, Wu-Lin Chen]",Tamper detection and image recovery for BTC-compressed images.
"[Hwai-Tsu Hu, Jieh-Ren Chang, Ling-Yuan Hsu]",Windowed and distortion-compensated vector modulation for blind audio watermarking in DWT domain.
"[Rongyao Hu, Debo Cheng, Wei He, Guoqiu Wen, Yonghua Zhu, Jilian Zhang, Shichao Zhang]",Low-rank feature selection for multi-view regression.
"[Hai-Miao Hu, Wen Fang, Guodong Zeng, Zihao Hu, Bo Li 0006]",A person re-identification algorithm based on pyramid color topology feature.
"[Hwai-Tsu Hu, Ling-Yuan Hsu]",Collective blind image watermarking in DWT-DCT domain with adaptive embedding strength governed by quality metrics.
"[Changhui Hu, Xiaobo Lu, Mengjun Ye, Weili Zeng, Yijun Du]",Illumination robust single sample face recognition based on ESRC.
"[Min Hu, Bo Ou, Yi Xiao]",Efficient image colorization based on seed pixel selection.
"[Zheng-ping Hu, Ronglu Xie, Meng Wang, Zhe Sun]",Midlevel cues mean shift visual tracking algorithm based on target-background saliency confidence map.
"[Hai-Miao Hu, Mingliang Zhou, Yang Liu, Naiyu Yin]",A region-based intra-frame rate control scheme by jointing inter-frame dependency and inter-frame correlation.
"[Kai-Lung Hua, Yeni Anistyasari, Che-Hao Hsu, Tai-Lin Chin, Chao-Lung Yang, Chun-Yen Wang]",Multicast scheduling for stereoscopic video in wireless networks.
"[Wei Hua, Xiaofeng Liao]",A secret image sharing scheme based on piecewise linear chaotic map and Chinese remainder theorem.
"[Ying-Hsuan Huang, Ching-Chun Chang, Yi-Hui Chen]",Hybrid secret hiding schemes based on absolute moment block truncation coding.
"[Yizhen Huang, Yepeng Guan]","Learning and intelligence can happen everywhere, a case study - learning via Non-uniform 1D rulers with applications in image classification and recognition."
"[Tien-Chi Huang, Yong-Ming Huang]",Where are my cooperative learning companions - designing an intelligent recommendation mechanism.
"[Deng-Yuan Huang, Ching-Ning Huang, Wu-Chih Hu, Chih-Hung Chou]",Robustness of copy-move forgery detection under high JPEG compression artifacts.
"[Kebin Huang, Ruimin Hu, Junjun Jiang, Zhen Han, Feng Wang]",HRM graph constrained dictionary learning for face image super-resolution.
"[Jyun-Ci Huang, Fuh-Gwo Jeng, Tzung-Her Chen]",A new buyer-seller watermarking protocol without multiple watermarks insertion.
"[Lei Huang 0004, Bin Luo]",Tag refinement of micro-videos by learning from multiple data sources.
"[Butian Huang, Zhenguang Liu, Jianhai Chen, Anan Liu, Qi Liu, Qinming He]",Behavior pattern clustering in blockchain networks.
"[Chao Huang, Wang Luo, Yurui Xie]",Local-class-shared-topic latent Dirichlet allocation based scene classification.
"[Jin Huang 0007, Bin Li, Jia Zhu, Jian Chen 0011]",Age classification with deep learning face representation.
"[Guoheng Huang, Chi-Man Pun, Cong Lin]",Unsupervised video co-segmentation based on superpixel co-saliency and region merging.
"[Runhe Huang, Atsushi Sato, Toshihiro Tamura, Jianhua Ma, Neil Y. Yen]",Towards next-generation business intelligence - an integrated framework based on DME and KID fusion engine.
"[Zhengwei Huang, Wentao Xue, Qirong Mao, Yongzhao Zhan]",Unsupervised domain adaptation for speech emotion recognition using PCANet.
"[Shih-Yu Huang, Jen-Perng Yu, Yuan-Kai Wang, Jia-Wei Liu]",Designing an exergaming system for exercise bikes using kinect sensors and Google Earth.
"[Taiqi Huang, Benshun Yi, Weiqing Yao, Weizhong Li]",Unequal error protection scheme for image transmission based on regularized variable-node and expanding window fountain codes.
"[Yinghao Huang, Hongxun Yao, Sicheng Zhao, Yanhao Zhang]",Towards more efficient and flexible face image deblurring using robust salient face landmark detection.
"[Zhong-Min Huangfu, Shu-Sheng Zhang, Luo-Heng Yan]",A method of 3D CAD model retrieval based on spatial bag of words.
"[Qizi Huangpeng, Xiangrong Zeng, Quan Sun, Jun Fan, Jing Feng, Zhengqiang Pan]",Super-resolving blurry multiframe images through multiframe blind deblurring using ADMM.
"[Jason Chi-Shun Hung, Kun-Hsiang Chiang, Yi-Hung Huang, Kuan-Cheng Lin]",Augmenting teacher-student interaction in digital learning through affective computing.
"[Rafaqat Hussain, Hui Gao, Riaz Ahmed Shaikh 0002]",Segmentation of connected characters in text-based CAPTCHAs for intelligent character recognition.
"[Ayyaz Hussain, Muhammad Habib]",A new cluster based adaptive fuzzy switching median filter for impulse noise removal.
Árpád Huszák,Advanced free viewpoint video streaming techniques.
"[Insung Hwang, Sang Hwa Lee, Jae Sung Park, Nam Ik Cho]",Saliency detection based on seed propagation in a multilayer graph.
"[Bang-Ning Hwang, Nai-Yuan Pai, Chih-Hung Wu]",Fuzzy AHP for determining the key features and cognitive differences of mobile game development among designer and game player.
"[Anastasia Ioannidou, Evlampios E. Apostolidis, Chrysa Collyda, Vasileios Mezaris]",A web-based tool for fast instance-level labeling of videos and the creation of spatiotemporal media fragments.
"[Azeem Irshad, Muhammad Sher, Omer Nawaz, Shehzad Ashraf Chaudhry, Imran Khan 0004, Saru Kumari]",A secure and provable multi-server authenticated key agreement for TMIS based on Amin et al. scheme.
"[Mohd Rizal Mohd Isa, Salem Aljareh, Zaharin Yusoff]",A watermarking technique to improve the security level in face recognition systems.
"[Meera Mary Isaac, M. Wilscy]",Multiscale Local Gabor Phase Quantization for image forgery detection.
"[Satoru Ishikawa, Jorma Laaksonen]",Uni- and multimodal methods for single- and multi-label recognition.
"[Md Baharul Islam, Lai-Kuan Wong, Chee-Onn Wong]",A survey of aesthetics-driven image recomposition.
"[Mariko Isogawa, Dan Mikami, Kosuke Takahashi, Akira Kojima]",Image and video completion via feature reduction and compensation.
"[Vincent Itier, William Puech]",High capacity data hiding for 3D point clouds based on Static Arithmetic Coding.
"[Lukman H. Iwan, James A. Thom]",Temporal video segmentation - detecting the end-of-act in circus performance videos.
"[Paras Jain, Vipin Tyagi]",An adaptive edge-preserving image denoising technique using patch-based weighted-SVD filtering in wavelet domain.
"[Grega Jakus, Emilija Stojmenova Duh, Saso Tomazic, Jaka Sodnik]",A system for efficient motor learning using multimodal augmented feedback.
"[Biswapati Jana, Debasis Giri, Shyamal Kumar Mondal]","Partial reversible data hiding scheme using (7, 4) hamming code."
"[Sung-Bong Jang, Young Woong Ko]",Image display time reduction scheme for mobile devices.
"[Sung-Bong Jang, Young-Gab Kim, Young Woong Ko]",Mobile video communication based on augmented reality.
"[Bong-Joo Jang, Suk-Hwan Lee, Eung-Joo Lee, Sanghun Lim, Ki-Ryong Kwon]",A crypto-marking method for secure vector map.
Artur Janicki,Increasing anti-spoofing protection in speaker verification using linear prediction.
"[Moath Jarrah, Muneera Al-Quraan, Yaser Jararweh, Mahmoud Al-Ayyoub]",MedGraph - a graph-based representation and computation to handle large sets of images.
"[Gaurav Jaswal, Aditya Nigam, Ravinder Nath]",DeepKnuckle - revealing the human identity.
"[Mohsen Jenadeleh, Mohsen Ebrahimi Moghaddam]",BIQWS - efficient Wakeby modeling of natural scene statistics for blind image quality assessment.
"[Mahdi Jeyhoon, Mohammad Asgari, Lili Ehsan, Seyedeh Zahra Jalilzadeh]","Blind audio watermarking algorithm based on DCT, linear regression and standard deviation."
"[Xiaoyong Ji, Sen Bai, Guibin Zhu, Bing Yan]","Image encryption and compression based on the generalized knight&apos;s tour, discrete cosine transform and chaotic maps."
"[Dongsheng Ji, Xiyan Li, Qingjun Yang, Tao Ma, Xiaoyun Chen]",Analysis and segmentation of MRI volume data based on KmGAC model.
"[Hongkun Ji, Quan-Sen Sun, Yunhao Yuan, Zexuan Ji, Guoqing Zhang 0002, Lei Feng]",Dual structural consistency based multi-modal correlation propagation projections for data representation.
"[Li Ji, Hong Wang, Tianqi Zheng, Xunfang Qi]",Motion trajectory of human arms based on the dual quaternion with motion tracker.
"[Xiuxia Ji, Gong Zhang]",Contourlet domain SAR image de-speckling via self-snake diffusion and sparse representation.
"[Xiuxia Ji, Gong Zhang]",Image fusion method of SAR and infrared image based on Curvelet transform with adaptive weighting.
"[Chuanxia Jian, Jian Gao, Yinhui Ao]",Imbalanced defect classification for mobile phone screen glass using multifractal features and a new sampling method.
"[Qiuping Jiang, Feng Shao, Gangyi Jiang, Mei Yu 0001, Zongju Peng]",Leveraging visual attention and neural activity for stereoscopic 3D visual comfort assessment.
"[Xu-dong Jiang, Bin Sheng, Weiyao Lin, Ping Li, Lizhuang Ma, Ruimin Shen]",Antialiased super-resolution with parallel high-frequency synthesis.
"[Ruomei Jiang, Yanxia Wang, Xingyu Yan]",Density clustering analysis of fuzzy neural network initialization for grinding capability prediction of power plant ball mill.
"[Wenchao Jiang, Zhaozheng Yin]",Indoor localization with a signal tree.
"[Ruichen Jin, Jongweon Kim]",Tracking feature extraction techniques with improved SIFT for video identification.
"[Chao Jin, Rangding Wang, Diqun Yan]",Steganalysis of MP3Stego with low embedding-rate using Markov feature.
"[Parisut Jitpakdee, Bunyarit Uyyanonvara]",Computer-aided detection and quantification in glistenings on intra-ocular lenses.
"[Hae-Jong Joo, Moon-Taek Cho, Hwa-Young Jeong]",RFID-based scale model freight car system allowing realtime quantity checking.
